codigo_producto,nombre_producto,tipo_b_s,categoria_codigo,subcategoria_codigo,procedencia_pais,iva_pct,precio_lista_1,precio_lista_2,precio_lista_3,activo_catalogo,lote_export,marca_color_catalogo
VSCC001MR36407036,"CATGUT CROMICO 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 36.40MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VSCC001MR37007536,"CATGUT CROMICO 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 37MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,GRIS
VSCC001MR37007536EVT,"CATGUT CROMICO 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 37MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",N,0,AZUL
VSCC002MR37007536,"CATGUT CROMICO 2, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 37MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
VSCC010MR35004536,"CATGUT CROMICO 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 45CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
VSCC010MR35007036,"CATGUT CROMICO 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AMARILLO
VSCC010MR35007536,"CATGUT CROMICO 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 75CMM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,NARANJA
VSCC010MR37007536,"CATGUT CROMICO 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 37M, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VSCC010MR37007536EVT,"CATGUT CROMICO 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 37M, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",N,0,GRIS
VSCC020MR25007036,"CATGUT CROMICO 2-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 25MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
